,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,for_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
30,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-02-19 04:06:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",,"PRA0105\, Friday\, 3 - 5 pm",Yes,I have fallen behind,Unconfident,Indexing and for loops,I somewhat understand,,1010333284.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,unconfident,0.0,3.0
31,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-19 04:06:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,unclear,"modifying strings, for loops",I do not understand,I do not have any feedback right now.,1010161343.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,unclear,-1.0,3.0
32,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-19 04:02:23 UTC,I did not attend any lectures this week,"I was working on assignments for this course,I was working on assignments and/or projects for another course",,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Confused.,Every single one of this week is a little blurry to me but im planning on studying in reading week.,I somewhat understand,,1009896052.0,LEC0101,TUT0103,PRA0103,Civil,False,False,False,False,confused ,-1.3,0.0
33,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-19 03:46:56 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am starting to fall behind,Excited,,I somewhat understand,The course is starting to get interesting.,1009926387.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,excited,1.4,3.0
34,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-19 03:44:50 UTC,I did not attend any lectures this week,"I was studying for a term test for another course,Other",,,I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,Yes,I am up-to-date,I will review harder during the reading week. ,"I am a little confused with the indentation, especially for the 'return' clause in defining a function.",I somewhat understand,,1010401762.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,i will review harder during the reading week  ,0.0,0.0
35,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-19 03:42:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I have fallen behind,Confused,,I somewhat understand,,1010164135.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,confused,-1.3,1.0
36,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-19 03:37:01 UTC,I did not attend any lectures this week,"I was working on assignments and/or projects for another course,Other",,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm,PRA0106\, Friday\, 3 - 5 pm",No,I have fallen behind,frustrated,splicing strings,I somewhat understand,,1009838393.0,LEC0101,TUT0103,PRA0103,Mechanical,False,False,False,False,frustrated,-2.4,0.0
37,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-19 03:36:43 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",No,I am starting to fall behind,Ehh,Nothing,I completely understand,Ur doing good :),1010452706.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,ehh,0.0,2.0
38,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-02-19 03:31:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",Yes,I am up-to-date,content,"for loops, range",I somewhat understand,none,1008788830.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,content,0.0,3.0
39,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-02-19 03:26:07 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for this course,I prefer the scheduling of the lectures in another section(s),Coding along with the instructor on my device,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",No,I am starting to fall behind,Bad,"For loops and while loops

 ",I somewhat understand,Good,1010229986.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,bad,-2.5,3.0
40,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-19 03:20:57 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,prepared,,I completely understand,,1010607513.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,prepared,0.9,3.0
41,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-19 03:19:31 UTC,I did not attend any lectures this week,I was studying for a term test for another course,Other,Other,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Tired,"Utilizing While Loops, and creating mathematical algorithms. ",I do not understand,No feedback.,1010014155.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,tired,-1.9,0.0
42,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-19 03:16:25 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,Coding along with the instructor on my device,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",No,I have fallen behind,behind,,I somewhat understand,,1010555917.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,behind,0.0,1.0
43,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0101-20241","320323, 320246, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0101-20241",2024-02-19 03:12:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am up-to-date,Good,About the while loop,I somewhat understand,All good,,,,,,LEC0101,False,False,False,good,1.9,3.0
44,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-19 03:09:44 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,good,,I somewhat understand,,1009083509.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
45,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320129, 320276, 320168","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-19 03:09:22 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Coding along with the instructor on my device,I was working on assignments for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Satisfied,,I somewhat understand,,1008908274.0,LEC0102,TUT0101,PRA0101,Chemical,False,LEC0102,False,True,satisfied,1.8,3.0
46,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320285, 320239, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-19 03:03:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",I did not use or plan to use any recorded material this week,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am up-to-date,Great,,I completely understand,,1009907497.0,LEC0101,TUT0102,PRA0104,Civil,LEC0101,False,False,True,great,3.1,3.0
47,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-19 02:54:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for this course,Other,"Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I have fallen behind,scary,char,I do not understand,hard,1009149743.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,scary,-2.2,3.0
48,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-19 02:48:07 UTC,I did not attend any lectures this week,Other,Other,"I was studying for a term test for another course,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I am up-to-date,Tired,,I completely understand,,1010215107.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,tired,-1.9,0.0
49,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-19 02:47:03 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,fine,,I completely understand,,1009897649.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,LEC0103,False,fine,0.8,3.0
50,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241","320315, 320149, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241",2024-02-19 02:45:10 UTC,I did not attend any lectures this week,"I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",Other,Other,I did not attend any tutorials this week,"LEC0103 - Beck Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Up to date ,,I completely understand,I find the practice problems very helpful ,,,,,,False,False,False,False,up to date ,0.0,0.0
51,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-19 02:42:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Yes,I have fallen behind,Struggling,"while statement

for loop",I somewhat understand,It’s good so far!,1008829797.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,struggling,-1.8,2.0
52,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-19 02:33:26 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments for this course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",No,I am up-to-date,Enlighted ,Cryptography ,I somewhat understand,,1010260600.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,enlighted ,0.0,3.0
53,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-02-19 02:29:23 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,cool,while loops ,I somewhat understand,great,1010179815.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,cool,1.3,3.0
54,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241","320129, 320224, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241",2024-02-19 02:25:07 UTC,I did not attend any lectures this week,I was working on assignments and/or projects for another course,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Scared,while loops,,,1009639303.0,LEC0102,TUT0106,PRA0102,Industrial,False,False,False,False,scared,-1.9,0.0
55,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-02-19 02:25:01 UTC,I did not attend any lectures this week,,Other,,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",No,I have fallen behind,Test,While loops,I somewhat understand,,1010069131.0,LEC0101,TUT0104,PRA0104,Civil,False,False,False,False,test,0.0,0.0
56,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-02-19 02:17:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,"The looping with the Turtle method was quite confusing, and I think for that particular part of the lecture we were moving too fast. ",Looping through a range of items using the for loop. ,I somewhat understand,No other feedback to share. ,1010027999.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,"the looping with the turtle method was quite confusing, and i think for that particular part of the lecture we were moving too fast  ",0.0,3.0
